county_fips,naics2c,EMP_num,ESTAB,PAYANN,total_emp,emp_share
01001,11,50,10,2945,12749,0.003921876225586321
01001,21,26,4,1108,12749,0.0020393756373048868
01001,22,139,5,14898,12749,0.010902815907129972
01001,23,563,100,27960,12749,0.04416032630010197
01001,31-33,1484,28,121140,12749,0.116401286375402
01001,42,329,29,22767,12749,0.025805945564357988
01001,44-45,2911,189,90608,12749,0.22833163385363558
01001,48-49,179,17,10259,12749,0.014040316887599028
01001,51,107,15,3854,12749,0.008392815122754726
01001,52,374,76,25023,12749,0.029335634167385678
01001,53,187,41,11662,12749,0.014667817083692839
01001,54,505,60,24545,12749,0.039610949878421835
01001,56,483,41,15902,12749,0.037885324339163855
01001,61,92,10,3162,12749,0.00721625225507883
01001,62,1718,104,74730,12749,0.13475566711114598
01001,71,428,17,5780,12749,0.033571260491018905
01001,72,2406,109,49248,12749,0.18872068397521374
01001,81,765,112,21236,12749,0.0600047062514707
01003,11,20,14,1401,72022,2.7769292716114523e-4
01003,21,38,7,2105,72022,5.276165616061759e-4
01003,22,302,11,25897,72022,0.0041931632001332925
01003,23,5454,776,339998,72022,0.0757268612368443
01003,31-33,3883,183,244264,72022,0.053914081808336345
01003,42,2926,248,203117,72022,0.04062647524367554
01003,44-45,14900,1062,523315,72022,0.20688123073505318
01003,48-49,1576,165,91769,72022,0.021882202660298243
01003,51,594,93,32495,72022,0.008247479936686012
01003,52,1866,365,147074,72022,0.025908750104134848
01003,53,2643,507,129841,72022,0.03669712032434534
01003,54,2615,573,165771,72022,0.03630835022631974
01003,55,879,21,109891,72022,0.012204604148732331
01003,56,4178,360,151407,72022,0.05801005248396323
01003,61,1677,61,65857,72022,0.023284551942462026
01003,62,9299,585,483631,72022,0.12911332648357446
01003,71,1932,114,49569,72022,0.026825136763766626
01003,72,13632,669,361184,72022,0.18927549915303657
01003,81,3604,590,125760,72022,0.050040265474438364
01003,99,4,5,200,72022,5.5538585432229044e-5
01005,11,96,10,4818,6301,0.015235676876686241
01005,21,75,3,4537,6301,0.011902872559911125
01005,22,106,4,12180,6301,0.016822726551341056
01005,23,107,24,4162,6301,0.016981431518806538
01005,31-33,2080,19,97391,6301,0.33010633232820186
01005,42,42,8,1398,6301,0.0066656086335502305
01005,44-45,761,76,22281,6301,0.12077448024123155
01005,48-49,792,25,49200,6301,0.1256943342326615
01005,51,31,7,1404,6301,0.004919853991429932
01005,52,116,39,5916,6301,0.018409776225995874
01005,53,33,15,980,6301,0.005237263926360895
01005,54,69,23,3308,6301,0.010950642755118235
01005,56,340,11,6152,6301,0.05395968893826377
01005,61,70,4,1698,6301,0.011109347722583717
