county_fips,Time,naics2c,county_export_usd
01097,2023,11,1192121100
01097,2023,21,12001964652
01097,2023,31-33,48074061120
01097,2023,91,743593596
01097,2023,93,45678184
01097,2023,99,53826420
01097,2024,11,1344479856
01097,2024,21,11710491640
01097,2024,31-33,46802598052
01097,2024,91,606581720
01097,2024,93,22097656
01097,2024,99,70959596
01097,2025 through June,11,486098080
01097,2025 through June,21,3927187562.6666665
01097,2025 through June,31-33,22793417860
01097,2025 through June,91,259065864
01097,2025 through June,93,5085504
01097,2025 through June,99,71664556
02020,2023,11,8281084756
02020,2023,21,6537385052
02020,2023,31-33,77365564892
02020,2023,91,105091036
02020,2023,93,96791168
02020,2023,98,239256
02020,2023,99,1462584828
02020,2024,11,7404663112
02020,2024,21,8444181392
02020,2024,31-33,83263218808
02020,2024,91,52802516
02020,2024,93,94035784
02020,2024,98,3227872
02020,2024,99,2733958864
02020,2025 through June,11,3406265012
02020,2025 through June,21,1521273368
02020,2025 through June,31-33,44468780680
02020,2025 through June,91,9125224
02020,2025 through June,93,51754872
02020,2025 through June,98,537008
02020,2025 through June,99,827080360
04023,2023,11,3538948224
04023,2023,21,7269895788
04023,2023,31-33,43340824252
04023,2023,91,48529984
04023,2023,93,543538456
04023,2023,99,127201604
04023,2024,11,4097454188
04023,2024,21,7660121348
04023,2024,31-33,42810020484
04023,2024,91,40958040
04023,2024,93,532197264
04023,2024,99,243300908
04023,2025 through June,11,1924834656
04023,2025 through June,21,4905993320
04023,2025 through June,31-33,22382222968
04023,2025 through June,91,39293748
04023,2025 through June,93,148875820
04023,2025 through June,99,157608844
06037,2023,11,32952363804
06037,2023,21,3300949256
06037,2023,31-33,409346049804
06037,2023,91,17729788676
06037,2023,93,11248231708
06037,2023,99,3338839136
06037,2024,11,30592868956
06037,2024,21,3295382720
06037,2024,31-33,434575291968
06037,2024,91,18584641212
06037,2024,93,11514266364
06037,2024,98,247792
06037,2024,99,3827879576
06037,2025 through June,11,13500832052
06037,2025 through June,21,1427588348
06037,2025 through June,31-33,228412994840
06037,2025 through June,91,8827645188
06037,2025 through June,93,5693141008
06037,2025 through June,99,2000297120
06073,2023,11,3788421436
06073,2023,21,2997529028
06073,2023,31-33,123858186600
06073,2023,91,986837704
06073,2023,93,646198008
06073,2023,99,90568756
06073,2024,11,4474710916
06073,2024,21,2106942800
06073,2024,31-33,133843324368
06073,2024,91,918019000
06073,2024,93,873523956
06073,2024,99,185679436
06073,2025 through June,11,1786200980
06073,2025 through June,21,1130830068
06073,2025 through June,31-33,61846848368
06073,2025 through June,91,407728792
06073,2025 through June,93,391775640
06073,2025 through June,99,82310556
06075,2023,11,21386969368
06075,2023,21,812730012
06075,2023,31-33,190676041760
06075,2023,91,6063302180
06075,2023,93,1077281132
06075,2023,99,724537808
06075,2024,11,25344185424
06075,2024,21,710585160
06075,2024,31-33,208357020344
06075,2024,91,5224768300
06075,2024,93,1219718656
06075,2024,99,579546424
06075,2025 through June,11,14581912564
06075,2025 through June,21,305945020
06075,2025 through June,31-33,106952639372
06075,2025 through June,91,2638017640
06075,2025 through June,93,700216000
06075,2025 through June,99,249332680
11001,2023,11,162638460
11001,2023,21,5677084
11001,2023,31-33,21639250908
11001,2023,91,17292972
11001,2023,93,164905852
11001,2023,99,731193832
11001,2024,11,89626988
11001,2024,21,2346892
11001,2024,31-33,20545370480
11001,2024,91,21879548
11001,2024,93,205980332
11001,2024,99,859327756
