county_fips,county_name,year,county_exposure_mean,county_exposure_p90,export_exposure_total,tariffed_emp_share,agriculture_emp_share,mining_emp_share,manufacturing_emp_share,county_emp_total,sectors_with_tariff,dominant_naics2c,dominant_component,county_exposure_per_worker,gop_share_20,dem_share_20,margin_20,swingness_20,state_name,county_name_vote,gop_share_24,dem_share_24,margin_24,swingness_24,exposure_rank,exposure_per_worker_rank,political_salience_index,exposure_decile,gop_decile,bivariate_class,log_exposure,log_exposure_per_worker
01001,"Autauga County, Alabama",2023,39991362737.1643,60727098144.07759,173549511840.67032,0.13075535336104793,0.00392187622558632,0.00203937563730489,0.116401286375402,12749,4,31-33,39813181039.64417,3136823.494953667,0.714368023046453,0.27018365142239825,0.4441843716240547,0.5558156283759452,Alabama,Autauga County,0.7266406527137282,0.2638879035118836,0.4627527492018446,0.5372472507981554,0.4850560398505604,0.4016189290161893,0.2605950238927541,5,6,5-6,10.601966203322853,6.496490220640555
01003,"Baldwin County, Alabama",2023,18469726375.850708,28048605158.54089,80163054819.63913,0.06296687123378962,2.7769292716114e-4,5.2761656160617e-4,0.0539140818083363,72022,4,31-33,18440441394.254883,256445.61905876966,0.7617137282433283,0.22409029987509005,0.5376234283682382,0.4623765716317618,Alabama,Baldwin County,0.7864672271115197,0.20469919873899908,0.5817680283725206,0.4182319716274794,0.24190535491905354,0.13542963885429637,0.10117255353504093,3,8,3-8,10.266460461552635,5.408996977787426
01005,"Barbour County, Alabama",2023,113772871958.3429,172720764516.97397,493869515660.6095,0.36216473575622926,0.0152356768766862,0.0119028725599111,0.330106332328202,6301,4,31-33,112907542352.49545,18056319.94260322,0.5345122646891044,0.4578817265639856,0.07663053812511883,0.9233694618748811,Alabama,Barbour County,0.5701790073230268,0.4229048006509357,0.14727420667209112,0.8527257933279089,0.9034869240348692,0.7733499377334994,0.770426604059026,10,3,10-3,11.056038721084976,7.256629265518246
01007,"Bibb County, Alabama",2023,56937213226.315025,86483255024.95757,246989057222.3539,0.18057225294542004,0.00841548449146429,0,0.165905265688868,4159,3,31-33,56745218063.990295,13690120.996949995,0.7842626367899947,0.20698280354351223,0.5772798332464825,0.42272016675351753,Alabama,Bibb County,0.8193918407098799,0.1751974894491938,0.6441943512606861,0.35580564873931386,0.6251556662515566,0.7104607721046077,0.2224339173936931,7,9,7-9,10.755396206934272,7.1364073182849115
01009,"Blount County, Alabama",2023,44593727588.07533,67585773436.90274,193950553510.62848,0.19751418535530973,0.00202647932991084,0.0191840043231559,0.127803296406377,7402,4,31-33,43713054517.97522,6024551.146727281,0.8957155284906481,0.09569377990430622,0.8000217485863419,0.1999782514136581,Alabama,Blount County,0.9017961942023832,0.09162368842255024,0.8101725057798329,0.1898274942201671,0.5255292652552926,0.523972602739726,0.09975990356277772,6,10,6-10,10.649273776536726,6.77992476785533
01011,"Bullock County, Alabama",2023,146584292957.58194,222654616244.30347,635792777816.5785,0.468385512584408,0.0288520564763659,0,0.426642111724985,1629,3,31-33,145926047401.7615,89984219.12681518,0.24842835464990248,0.7470192933015392,-0.49859093865163673,0.5014090613483633,Alabama,Bullock County,0.2681441792498782,0.7264978080857282,-0.4583536288358499,0.5416463711641502,0.9651307596513076,0.975093399750934,0.5227595736640304,10,1,10-1,11.166087436561076,7.9541663570759455
01013,"Butler County, Alabama",2023,82610977686.21925,125484648071.09604,358271112761.4321,0.2812610697839182,0.020368402408785,0,0.240170031880978,5646,3,31-33,82146282548.25821,14631770.755618004,0.5752529510961214,0.4178962900505902,0.1573566610455312,0.8426433389544687,Alabama,Butler County,0.6108420928309909,0.3839612613676627,0.2268808314633282,0.7731191685366718,0.7889165628891657,0.7306973848069739,0.6099265171456807,8,4,8-4,10.91703776199597,7.165296917861419
01015,"Calhoun County, Alabama",2023,63862442930.81194,96998027727.57889,277104449827.15356,0.1993232495589555,0.0026028863117101,0,0.186540185672557,34577,3,31-33,63803059352.78545,1846963.094855307,0.6884843967597042,0.29845242531824334,0.3900319714414609,0.6099680285585392,Alabama,Calhoun County,0.7193900679991758,0.2718730682052339,0.44751699979394194,0.5524830002060581,0.675280199252802,0.3231631382316314,0.3730808304629328,7,6,7-6,10.805245527600123,6.266458452799321
01017,"Chambers County, Alabama",2023,109573538944.14125,166437615610.1041,475252246851.7553,0.35076611371406896,0.0225402051411929,0,0.318855261491706,7897,3,31-33,109059295189.15538,13875337.336221509,0.5726903951845067,0.4164485736718137,0.15624182151269306,0.8437581784873069,Alabama,Chambers County,0.6125448280711624,0.38007172491385977,0.23247310315730263,0.7675268968426974,0.8907222914072229,0.7141967621419676,0.6836533162724027,9,4,9-4,11.039705688476868,7.142243581759582
01019,"Cherokee County, Alabama",2023,62083468100.85111,94301576010.10498,269285050459.7679,0.20101429230059914,0.0117565698478562,0,0.180728446288612,4338,3,31-33,61815247710.377975,14311541.747545209,0.8603365580034144,0.13202178684659785,0.7283147711568165,0.27168522884318347,Alabama,Cherokee County,0.8747689463955638,0.11960874922982132,0.7551601971657425,0.24483980283425755,0.6656288916562889,0.7222914072229141,0.16297244659391116,7,10,7-10,10.79297596945224,7.15568645211282
01021,"Chilton County, Alabama",2023,79345194256.72331,120518848383.92369,344200460541.26135,0.24832990750256975,0.0110483042137718,0,0.231243576567318,7784,3,31-33,79093132600.25093,10193370.279640714,0.8329880890730191,0.1591403417918177,0.6738477472812014,0.32615225271879855,Alabama,Chilton County,0.8576642335766423,0.13675993511759937,0.720904298459043,0.279095701540957,0.772104607721046,0.6450809464508095,0.21549107715491073,8,10,8-10,10.89952062774422,7.008317843084032
