county_fips,Time,naics2c,county_export_usd,emp_share,EMP_num,total_emp,tariff_rate_mean,tariff_rate_median,tariff_rate_p90,n_tariff_lines,matched_emp,matched_tariff,matched_all,exposure_component_mean,exposure_component_p90
01097,2023,11,1192121100,0.0029085609276978644,459,157810,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,897553.9884046498,1386942.7410176797
01097,2023,21,12001964652,7.287244154362842e-4,115,157810,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,1789628.228359261,2405184.2856568024
01097,2023,31-33,48074061120,0.09302325581395349,14680,157810,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,1030528573.4437203,1565201989.953488
01097,2023,91,743593596,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
01097,2023,93,45678184,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
01097,2023,99,53826420,2.281224257017933e-4,36,157810,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
01097,2024,11,1344479856,0.0029085609276978644,459,157810,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,1012265.664186725,1564200.6308953806
01097,2024,21,11710491640,7.287244154362842e-4,115,157810,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,1746166.316480261,2346773.3230783856
01097,2024,31-33,46802598052,0.09302325581395349,14680,157810,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,1003273147.3131555,1523805517.9720929
01097,2024,91,606581720,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
01097,2024,93,22097656,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
01097,2024,99,70959596,2.281224257017933e-4,36,157810,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
01097,2025 through June,11,486098080,0.0029085609276978644,459,157810,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,365985.6959664941,565538.3530067803
01097,2025 through June,21,3927187562.6666665,7.287244154362842e-4,115,157810,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,585587.9369748431,787005.3017510509
01097,2025 through June,31-33,22793417860,0.09302325581395349,14680,157810,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,488605868.6105115,742111279.1627907
01097,2025 through June,91,259065864,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
01097,2025 through June,93,5085504,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
01097,2025 through June,99,71664556,2.281224257017933e-4,36,157810,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
02020,2023,11,8281084756,7.989705300073534e-4,113,141432,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,1712695.003867388,2646537.070614854
02020,2023,21,6537385052,0.025807455172803893,3650,141432,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,34522036.29692031,46396149.71113327
02020,2023,31-33,77365564892,0.012422931161264777,1757,141432,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,221477427.5419539,336387480.41698766
02020,2023,91,105091036,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
02020,2023,93,96791168,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
02020,2023,98,239256,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
02020,2023,99,1462584828,4.242321398269133e-5,6,141432,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
02020,2024,11,7404663112,7.989705300073534e-4,113,141432,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,1531433.3678392733,2366443.0444482155
02020,2024,21,8444181392,0.025807455172803893,3650,141432,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,44591275.287237436,59928779.00489282
02020,2024,31-33,83263218808,0.012422931161264777,1757,141432,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,238360872.0003744,362030632.4309887
02020,2024,91,52802516,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
02020,2024,93,94035784,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
02020,2024,98,3227872,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
02020,2024,99,2733958864,4.242321398269133e-5,6,141432,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
02020,2025 through June,11,3406265012,7.989705300073534e-4,113,141432,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,704484.1635842194,1088602.1447932578
02020,2025 through June,21,1521273368,0.025807455172803893,3650,141432,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,8033403.877834517,10796553.41881611
