county_fips,Time,county_exposure_mean,county_exposure_p90,total_export_usd,industry_rows,matched_rows,matched_share
01097,2023,1033215755.6604842,1568994116.9801626,62111245072,6,3,0.5
01097,2024,1006031579.2938225,1527716491.9260666,60557208520,6,3,0.5
01097,2025 through June,489557442.24345285,743463822.8175485,27542519426.666668,6,3,0.5
02020,2023,257712158.84274158,385430167.1987358,93848740988,7,3,0.42857142857142855
02020,2024,284483580.6554511,424325854.48032975,101996088348,7,3,0.42857142857142855
02020,2025 through June,136040405.18431574,205236565.98816675,50284816524,7,3,0.42857142857142855
04023,2023,411776658.1285073,625020743.6288366,54868938308,6,3,0.5
04023,2024,408592120.7673992,620188600.4307293,55384052232,6,3,0.5
04023,2025 through June,213500917.3358108,323969936.6079814,29558829356,6,3,0.5
06037,2023,6930512280.786951,10526271468.595152,477916222384,6,3,0.5
06037,2024,7357471659.453519,11174749680.789131,502390578588,7,3,0.42857142857142855
06037,2025 through June,3866960718.502818,5873259451.283319,259862498556,6,3,0.5
06073,2023,2107986107.4587922,3201675315.782782,132367741532,6,3,0.5
06073,2024,2277931741.4560843,3459801538.825228,142402200476,6,3,0.5
06073,2025 through June,1052570016.9618553,1598678061.8729634,65645694404,6,3,0.5
06075,2023,417975509.2719761,634848712.617657,220740862260,6,3,0.5
06075,2024,456780611.1067527,693789797.4393418,241435824308,6,3,0.5
06075,2025 through June,234509793.6436778,356190627.0250204,125428063276,6,3,0.5
11001,2023,10389885.42902754,15780512.804762885,22720959108,6,1,0.16666666666666666
11001,2024,9864668.896888996,14982795.999577554,21724531996,6,1,0.16666666666666666
11001,2025 through June,6088081.479464482,9246786.05932627,13394528076,6,1,0.16666666666666666
12057,2023,457726667.70432484,695210904.573204,52341324396,6,3,0.5
12057,2024,381156155.07640165,578912988.9578037,44034648632,6,3,0.5
12057,2025 through June,187860841.45636532,285329437.075185,21659413568,6,3,0.5
12086,2023,2275007174.8104453,3455358942.024344,293064752480,6,3,0.5
12086,2024,2417216940.80883,3671350349.822384,311814164820,6,3,0.5
12086,2025 through June,1266396324.7502136,1923445339.997452,162939469964,6,3,0.5
13051,2023,5885402453.841917,8938934298.876617,267899277560,6,3,0.5
13051,2024,6212309149.184184,9435445376.43808,281820686664,6,3,0.5
13051,2025 through June,3163263027.7008214,4804462000.814193,145780665148,6,3,0.5
15003,2023,70701611.68801554,107384104.11608225,15849413872,6,3,0.5
15003,2024,180629340.88728762,274346088.3705853,36369772628,6,3,0.5
15003,2025 through June,89484540.54401939,135912221.65116274,17910885140,6,3,0.5
17031,2023,4767129559.100617,7240479067.056978,301771817080,6,3,0.5
17031,2024,5077982655.047565,7712613314.191052,321539549260,6,3,0.5
17031,2025 through June,2819673078.5163226,4282615797.0577207,177619454664,6,3,0.5
22071,2023,1922794742.2241833,2904146207.838614,577696321788,7,3,0.42857142857142855
22071,2024,1966785476.7384899,2976057476.332786,554677522992,7,3,0.42857142857142855
22071,2025 through June,1022462547.145744,1546278645.9255178,284893121776,7,3,0.42857142857142855
23005,2023,458999481.79875994,697146370.5706961,28977303684,7,3,0.42857142857142855
23005,2024,437550530.66532785,664572186.1736536,27787647580,7,3,0.42857142857142855
23005,2025 through June,205544730.47026518,312182754.9616129,13224226504,7,3,0.42857142857142855
24510,2023,502115195.12665874,762629705.6197548,88317523592,6,1,0.16666666666666666
24510,2024,300331708.69573206,456154055.51136166,59672631748,6,1,0.16666666666666666
24510,2025 through June,157385987.9964973,239043213.30918112,31509431552,6,1,0.16666666666666666
25025,2023,85801686.95280352,130318865.89666109,37365123396,7,3,0.42857142857142855
25025,2024,85165703.00264794,129352926.73966569,37017048600,6,3,0.5
25025,2025 through June,45832363.08991266,69611914.81395052,19605870932,6,3,0.5
26163,2023,17469899986.679184,26533725211.63321,604325220636,7,3,0.42857142857142855
26163,2024,17046239980.171076,25890263015.653625,591306831392,7,3,0.42857142857142855
26163,2025 through June,7859399655.580973,11937046708.011902,276932946360,7,3,0.42857142857142855
27053,2023,141652805.4927172,215147013.80998698,8696727484,7,3,0.42857142857142855
27053,2024,171457894.80745018,260416330.47872415,9855078188,7,3,0.42857142857142855
27053,2025 through June,75714766.3975737,114998077.99360307,4261458532,7,3,0.42857142857142855
27137,2023,297326436.8245221,449389511.84716046,22501826588,7,3,0.42857142857142855
27137,2024,268424525.09943935,405689550.57163477,20313782532,7,3,0.42857142857142855
27137,2025 through June,115012309.41508877,173790194.0512995,8663771148,6,3,0.5
29189,2023,26514770.26047946,40271539.085981086,1627472314,4,2,0.5
29189,2024,15594849.450462757,23685996.432313412,983684666,4,2,0.5
29189,2025 through June,14395761.686064709,21864774.519576464,880972320,4,2,0.5
29510,2023,29396236.98873031,44648008.97943183,1627472314,4,2,0.5
29510,2024,17289501.530272994,26259889.73616499,983684666,4,2,0.5
29510,2025 through June,15960210.90429782,24240913.400234226,880972320,4,2,0.5
30013,2023,767380966.0758772,1165523034.069471,83407353292,7,2,0.2857142857142857
30013,2024,817165130.2910382,1241137071.247188,88048314964,7,2,0.2857142857142857
30013,2025 through June,384645276.73595333,584211893.1473876,40977461580,7,2,0.2857142857142857
36005,2023,427295285.20177346,648990671.3218215,131456904216.79999,7,1,0.14285714285714285
36005,2024,432751393.3724152,657277594.7377847,132389030132,7,1,0.14285714285714285
36005,2025 through June,311973597.5550274,473836153.882001,92649402919.2,7,1,0.14285714285714285
36029,2023,4612751425.360521,7005951113.892164,207435273584,7,3,0.42857142857142855
36029,2024,4479239417.219787,6803183111.717055,206520764276,7,3,0.42857142857142855
36029,2025 through June,2070102989.0537348,3144133975.2032747,90380859856,7,3,0.42857142857142855
36047,2023,576108534.0446016,875013349.5931269,131456904216.79999,7,2,0.2857142857142857
36047,2024,583464905.9315451,886186460.8806717,132389030132,7,2,0.2857142857142857
36047,2025 through June,420623685.8437742,638857634.8754764,92649402919.2,7,2,0.2857142857142857
36061,2023,135496310.82134625,205796431.51443815,131456904216.79999,7,3,0.42857142857142855
36061,2024,137226599.68844154,208424488.46667603,132389030132,7,3,0.42857142857142855
36061,2025 through June,98925963.5793699,150252164.38624692,92649402919.2,7,3,0.42857142857142855
36081,2023,645518930.9197232,980435983.7503458,131456904216.79999,7,3,0.42857142857142855
36081,2024,653761303.547572,992954835.1488409,132389030132,7,3,0.42857142857142855
36081,2025 through June,471300324.24825317,715826982.2614617,92649402919.2,7,3,0.42857142857142855
36085,2023,256995036.48781863,390332837.8122558,131456904216.79999,7,1,0.14285714285714285
36085,2024,260276590.8764504,395316974.6829716,132389030132,7,1,0.14285714285714285
36085,2025 through June,187635269.71525204,284986855.39825153,92649402919.2,7,1,0.14285714285714285
36089,2023,1462451422.2293813,2221062667.5422015,83492652104,7,3,0.42857142857142855
36089,2024,1423679343.4006076,2162265900.0753174,81845896464,7,3,0.42857142857142855
36089,2025 through June,641966438.1468663,974988311.6482061,37501518240,7,3,0.42857142857142855
37129,2023,336288138.2961969,510766373.8565603,29284594580,6,2,0.3333333333333333
37129,2024,468233187.658163,711169061.2898434,40277476276,6,2,0.3333333333333333
37129,2025 through June,285255411.21656305,433255981.08808875,24481265776,6,2,0.3333333333333333
38067,2023,9477726622.757595,14395190331.166903,146853868040,7,2,0.2857142857142857
38067,2024,9309657529.957027,14139901661.66115,141589424780,7,2,0.2857142857142857
38067,2025 through June,4502867563.693954,6839140288.750828,68414078096,7,2,0.2857142857142857
39035,2023,5102952691.245319,7750526751.202643,242552772744,7,3,0.42857142857142855
39035,2024,5281835360.921582,8022226798.276301,251005910236,7,3,0.42857142857142855
39035,2025 through June,2784032910.809031,4228482711.0654664,132188089192,7,3,0.42857142857142855
41007,2023,222447111.48465756,338854382.86551523,21439954637.333332,6,2,0.3333333333333333
41007,2024,234586889.1456352,357295899.79326266,22136542618.666668,6,2,0.3333333333333333
41007,2025 through June,122680582.48164132,186786752.40436494,10807346668,6,2,0.3333333333333333
41009,2023,373072480.9989315,567736047.7909836,21439954637.333332,6,3,0.5
41009,2024,394741287.3465869,600569628.6269556,22136542618.666668,6,3,0.5
41009,2025 through June,207588604.05698135,315744295.09021425,10807346668,6,3,0.5
41051,2023,131492125.62182702,199760122.77153745,21439954637.333332,6,3,0.5
41051,2024,139936736.58756515,212585215.66438842,22136542618.666668,6,3,0.5
41051,2025 through June,74822060.46113402,113662432.40845646,10807346668,6,3,0.5
42101,2023,394681589.48581046,599456132.9844395,83708364344,6,2,0.3333333333333333
42101,2024,401484813.7682731,609789345.2458435,87105933100,6,2,0.3333333333333333
42101,2025 through June,227314377.89695194,345252957.5737859,48477711536,6,2,0.3333333333333333
44007,2023,5490641.121784585,8339373.241461141,1448645708,3,1,0.3333333333333333
44007,2024,9472454.920392126,14387088.017945353,1883455816,3,1,0.3333333333333333
44007,2025 through June,4356365.937488162,6616597.417537654,880924220,4,2,0.5
45019,2023,2055843826.666736,3122431610.076704,148251897796,6,3,0.5
45019,2024,1859663660.1173353,2824467647.3803186,135268045280,6,3,0.5
45019,2025 through June,914427500.6557759,1388846321.705117,64606699954.666664,6,3,0.5
48113,2023,901279925.7004069,1368894612.073286,58872452098,6,3,0.5
48113,2024,940854969.5156803,1429002553.6278372,61708158870,6,3,0.5
48113,2025 through June,566299072.6139427,860114274.7145298,37008923320,6,3,0.5
48141,2023,2771769277.098923,4209793728.1197867,204471536656,6,3,0.5
48141,2024,3305742641.47567,5020859502.915832,236155784740,6,3,0.5
48141,2025 through June,1770645496.5745318,2689282486.290838,126749753044,6,3,0.5
48167,2023,2606471297.648447,3952908165.2756624,479863985570,7,3,0.42857142857142855
48167,2024,2665377855.9552546,4042051018.0309258,499660078622,6,3,0.5
48167,2025 through June,1346546255.7441702,2042199494.8771665,245887906640,6,3,0.5
48201,2023,4424612388.368701,6583869980.80375,479863985570,7,3,0.42857142857142855
48201,2024,4548613948.947343,6764648574.00798,499660078622,6,3,0.5
48201,2025 through June,2278195484.1393127,3391164857.122704,245887906640,6,3,0.5
48245,2023,2703633536.670875,4099023220.993284,174701657132,2,2,1
48245,2024,2507928482.028175,3802804430.139672,156125438324,4,2,0.5
48245,2025 through June,1068907382.2197922,1620132881.7639704,74557003344,3,2,0.6666666666666666
48439,2023,1374578072.541881,2087755932.4275827,58872452098,6,3,0.5
48439,2024,1434935554.390232,2179428957.9699907,61708158870,6,3,0.5
48439,2025 through June,863685379.0466782,1311794697.154341,37008923320,6,3,0.5
48479,2023,1745507860.6967,2643995963.697016,670222168220,6,3,0.5
48479,2024,1799802865.7465534,2727206745.4015484,690137408664,6,3,0.5
48479,2025 through June,900374641.0707979,1362855203.9846106,345441562604,6,3,0.5
50011,2023,383902732.46331495,583081825.6560743,8723738492,7,3,0.42857142857142855
50011,2024,396285395.73556954,601889225.8335947,9035386544,7,3,0.42857142857142855
50011,2025 through June,180547148.72525644,274220956.09528553,4090540832,7,3,0.42857142857142855
51710,2023,1624117432.1577663,2466765019.660383,166177904472,6,1,0.16666666666666666
51710,2024,1675377832.8546073,2544621066.7842336,170281986936,6,1,0.16666666666666666
51710,2025 through June,762892328.7923945,1158706921.7846565,75319475450.66667,6,1,0.16666666666666666
53033,2023,3148923090.3393564,4782813585.279845,257249163468,7,3,0.42857142857142855
53033,2024,3025799315.0876436,4595819563.039845,252951325364,7,3,0.42857142857142855
53033,2025 through June,1578877322.102398,2398106458.8405867,129213400768,7,3,0.42857142857142855
55079,2023,79623903.35080382,120935503.54954064,3279789936,3,2,0.6666666666666666
55079,2024,56070417.24292202,85161664.51636656,2261269608,3,1,0.3333333333333333
55079,2025 through June,20650672.068167113,31364945.97180064,846635532,3,2,0.6666666666666666
72127,2023,345782069.48257285,525185615.606723,73071155228,6,1,0.16666666666666666
72127,2024,357177097.9061844,542492773.9173484,75308975528,6,1,0.16666666666666666
72127,2025 through June,161552564.89588928,245371552.59280676,34108020132,6,1,0.16666666666666666
78010,2023,0,0,4279616996,5,0,0
78010,2024,0,0,3217492494.6666665,3,0,0
78010,2025 through June,0,0,1558670730.6666665,2,0,0
78020,2023,0,0,4279616996,5,0,0
78020,2024,0,0,3217492494.6666665,3,0,0
78020,2025 through June,0,0,1558670730.6666665,2,0,0
78030,2023,0,0,4279616996,5,0,0
78030,2024,0,0,3217492494.6666665,3,0,0
78030,2025 through June,0,0,1558670730.6666665,2,0,0
