"","hs8_raw","Country","desc","tariff","hs_digits","hs8","hs6","naics6","mapping_level","naics2","naics3","naics4"
"1","01012900","China","Live horses, asses, mules and hinnies: --Other","30.0%","01012900","01012900","010129","112920","hs6","11","112","1129"
"2","01013090","China","Live horses, asses, mules and hinnies: ---Other","2.5%","01013090","01013090","010130","112920","hs6","11","112","1129"
"3","01019000","China","Live horses, asses, mules and hinnies: -Other","2.5%","01019000","01019000","010190","112920","hs6","11","112","1129"
"4","01022900","China","Live bovine animals: --Other","2.5%","01022900","01022900","010229","112990","hs4","11","112","1129"
"5","01023900","China","Live bovine animals: --Other","2.5%","01023900","01023900","010239","112990","hs6","11","112","1129"
"6","01029090","China","Live bovine animals: ---Other","2.5%","01029090","01029090","010290","112990","hs6","11","112","1129"
"7","01039110","China","Live swine: ---Weighing less than 10kg","2.5%","01039110","01039110","010391","112210","hs6","11","112","1122"
"8","01039120","China","Live swine: ---Weighing 10kg or more, but less than 50kg","2.5%","01039120","01039120","010391","112210","hs6","11","112","1122"
"9","01039200","China","Live swine: --Weighing 50kg or more","2.5%","01039200","01039200","010392","112210","hs6","11","112","1122"
"10","01041090","China","Live sheep and goats: ---Other","2.5%","01041090","01041090","010410","112410","hs6","11","112","1124"
"11","01042090","China","Live sheep and goats: ---Other","2.5%","01042090","01042090","010420","112420","hs6","11","112","1124"
"12","01051122","Canada","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Weighing not more than 185<U+00A0>g: Fowls of the species Gallus domesticusBroilers for domestic production: Over access commitment","25.0%","01051122","01051122","010511","112990","hs2","11","112","1129"
"13","01051190","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","01051190","01051190","010511","112990","hs2","11","112","1129"
"14","01051290","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","01051290","01051290","010512","112990","hs2","11","112","1129"
"15","01051390","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","01051390","01051390","010513","112990","hs2","11","112","1129"
"16","01051490","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","01051490","01051490","010514","112990","hs2","11","112","1129"
"17","01051590","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","01051590","01051590","010515","112990","hs2","11","112","1129"
"18","01059490","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ---Other","2.5%","01059490","01059490","010594","112990","hs2","11","112","1129"
"19","01059492","Canada","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: Fowls of the species Gallus domesticusOther: Over access commitment","25.0%","01059492","01059492","010594","112990","hs2","11","112","1129"
"20","01059912","Canada","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. Other: OtherTurkeys: Over access commitment","25.0%","01059912","01059912","010599","112990","hs2","11","112","1129"
"21","01059991","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Ducks","2.5%","01059991","01059991","010599","112990","hs2","11","112","1129"
"22","01059992","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Geese","2.5%","01059992","01059992","010599","112990","hs2","11","112","1129"
"23","01059993","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Guinea fowls","2.5%","01059993","01059993","010599","112990","hs2","11","112","1129"
"24","01059994","China","Live poultry, that is to say, fowls of the speciesGallus domesticus, ducks, geese, turkeys and guinea fowls: ----Turkeys","2.5%","01059994","01059994","010599","112990","hs2","11","112","1129"
"25","01061190","China","Other live animals: ---Other","2.5%","01061190","01061190","010611","112990","hs6","11","112","1129"
"26","01061219","China","Other live animals: ----Other","2.5%","01061219","01061219","010612","112990","hs6","11","112","1129"
"27","01061229","China","Other live animals: ----Other","2.5%","01061229","01061229","010612","112990","hs6","11","112","1129"
"28","01061390","China","Other live animals: ---Other","2.5%","01061390","01061390","010613","112990","hs6","11","112","1129"
