naics2,time,year,month,all_val_yr
11,2017-01,2017,1,7179946411
11,2017-02,2017,2,13903525926
11,2017-03,2017,3,21105795545
11,2017-04,2017,4,27228590550
11,2017-05,2017,5,32710945109
11,2017-06,2017,6,38035483957
11,2017-07,2017,7,43743599286
11,2017-08,2017,8,49260531508
11,2017-09,2017,9,55334597737
11,2017-10,2017,10,63443438815
11,2017-11,2017,11,71763928641
11,2017-12,2017,12,79230432234
11,2018-01,2018,1,6620936421
11,2018-02,2018,2,13297314206
11,2018-03,2018,3,20725472545
11,2018-04,2018,4,27391048749
11,2018-05,2018,5,33993045920
11,2018-06,2018,6,40160040167
11,2018-07,2018,7,46371157755
11,2018-08,2018,8,52242860377
11,2018-09,2018,9,57882267773
11,2018-10,2018,10,64730772960
11,2018-11,2018,11,71542110665
11,2018-12,2018,12,77686382969
11,2019-01,2019,1,6314138360
11,2019-02,2019,2,12574173393
11,2019-03,2019,3,19392257754
11,2019-04,2019,4,25364920956
11,2019-05,2019,5,31164667436
11,2019-06,2019,6,36687393168
11,2019-07,2019,7,42318151733
11,2019-08,2019,8,48409844673
11,2019-09,2019,9,53615482949
11,2019-10,2019,10,60240429815
11,2019-11,2019,11,67313784169
11,2019-12,2019,12,73782535832
11,2020-01,2020,1,6018487477
11,2020-02,2020,2,11951009567
11,2020-03,2020,3,18069294379
11,2020-04,2020,4,23476756807
11,2020-05,2020,5,28733320302
11,2020-06,2020,6,33710888335
11,2020-07,2020,7,38939494234
11,2020-08,2020,8,44886710955
11,2020-09,2020,9,51795155359
11,2020-10,2020,10,61367201098
11,2020-11,2020,11,71124027799
11,2020-12,2020,12,81068431043
11,2021-01,2021,1,9460199019
11,2021-02,2021,2,17352283520
11,2021-03,2021,3,25671382042
11,2021-04,2021,4,33262346430
11,2021-05,2021,5,40939905829
11,2021-06,2021,6,47236146406
11,2021-07,2021,7,53636772467
11,2021-08,2021,8,59423459285
11,2021-09,2021,9,65328816020
11,2021-10,2021,10,76280432755
11,2021-11,2021,11,87417708500
11,2021-12,2021,12,96785575796
11,2022-01,2022,1,9148282409
11,2022-02,2022,2,18042085275
11,2022-03,2022,3,27684299456
11,2022-04,2022,4,37371757936
11,2022-05,2022,5,46502191599
11,2022-06,2022,6,54772211859
11,2022-07,2022,7,62379635098
11,2022-08,2022,8,70440987148
11,2022-09,2022,9,77039607622
11,2022-10,2022,10,87559069882
11,2022-11,2022,11,98007964779
11,2022-12,2022,12,107802296836
11,2023-01,2023,1,9951520211
11,2023-02,2023,2,18744640145
11,2023-03,2023,3,26841407866
11,2023-04,2023,4,34157864848
11,2023-05,2023,5,40824463589
11,2023-06,2023,6,46032172716
11,2023-07,2023,7,51376763324
11,2023-08,2023,8,56867851343
11,2023-09,2023,9,62808720153
11,2023-10,2023,10,72362270793
11,2023-11,2023,11,81293940757
11,2023-12,2023,12,89468601974
21,2017-01,2017,1,4437614956
21,2017-02,2017,2,9416074066
21,2017-03,2017,3,14212544413
21,2017-04,2017,4,19241283631
21,2017-05,2017,5,24118632134
21,2017-06,2017,6,28270239876
21,2017-07,2017,7,32948823474
21,2017-08,2017,8,37552377989
21,2017-09,2017,9,43549341286
21,2017-10,2017,10,50306750463
21,2017-11,2017,11,56798872191
21,2017-12,2017,12,63464847226
21,2018-01,2018,1,6218654012
21,2018-02,2018,2,12755118757
21,2018-03,2018,3,20161397981
21,2018-04,2018,4,27723390671
21,2018-05,2018,5,35988584404
21,2018-06,2018,6,44564907582
21,2018-07,2018,7,54103752305
21,2018-08,2018,8,62532138240
21,2018-09,2018,9,70976805393
21,2018-10,2018,10,80279540523
21,2018-11,2018,11,89021652825
21,2018-12,2018,12,97665447155
21,2019-01,2019,1,8632078739
21,2019-02,2019,2,16790774251
21,2019-03,2019,3,25757489051
21,2019-04,2019,4,35637544618
21,2019-05,2019,5,45756412204
21,2019-06,2019,6,55349804019
21,2019-07,2019,7,64763916967
21,2019-08,2019,8,73504582674
21,2019-09,2019,9,83284609508
21,2019-10,2019,10,93593675927
21,2019-11,2019,11,103363435169
21,2019-12,2019,12,114402699399
21,2020-01,2020,1,10751244504
21,2020-02,2020,2,20067763061
21,2020-03,2020,3,28928365806
21,2020-04,2020,4,35138759958
21,2020-05,2020,5,41205791401
21,2020-06,2020,6,47307774970
21,2020-07,2020,7,54904339673
21,2020-08,2020,8,62845089066
21,2020-09,2020,9,70674781163
21,2020-10,2020,10,78655130619
21,2020-11,2020,11,87195524126
21,2020-12,2020,12,97319347146
21,2021-01,2021,1,10301497137
21,2021-02,2021,2,22135064001
21,2021-03,2021,3,33585291138
21,2021-04,2021,4,45125831894
21,2021-05,2021,5,56741213669
21,2021-06,2021,6,70020056282
21,2021-07,2021,7,82350664558
21,2021-08,2021,8,96484732303
21,2021-09,2021,9,109545434422
21,2021-10,2021,10,125215049126
21,2021-11,2021,11,141517311507
21,2021-12,2021,12,157727859039
21,2022-01,2022,1,16811979250
21,2022-02,2022,2,33625791626
21,2022-03,2022,3,52752359326
21,2022-04,2022,4,74055531708
21,2022-05,2022,5,95979226161
21,2022-06,2022,6,118490294202
21,2022-07,2022,7,140683340479
21,2022-08,2022,8,163299107744
21,2022-09,2022,9,185410160335
21,2022-10,2022,10,206289019179
21,2022-11,2022,11,225408586147
21,2022-12,2022,12,244488442742
21,2023-01,2023,1,17628521594
21,2023-02,2023,2,34872374049
21,2023-03,2023,3,54348123269
21,2023-04,2023,4,71442565517
21,2023-05,2023,5,87631138201
21,2023-06,2023,6,103067675912
21,2023-07,2023,7,119388295379
21,2023-08,2023,8,137782915295
21,2023-09,2023,9,156239965838
21,2023-10,2023,10,175647897066
21,2023-11,2023,11,193620465927
21,2023-12,2023,12,212573273098
31,2017-01,2017,1,7389683850
31,2017-02,2017,2,14689979756
31,2017-03,2017,3,23196181928
31,2017-04,2017,4,30829868964
31,2017-05,2017,5,38796653130
31,2017-06,2017,6,46732017747
31,2017-07,2017,7,54415941109
31,2017-08,2017,8,62568121886
31,2017-09,2017,9,70318737229
31,2017-10,2017,10,78761652210
31,2017-11,2017,11,87080500315
31,2017-12,2017,12,95089160668
31,2018-01,2018,1,7424601715
31,2018-02,2018,2,15111169803
31,2018-03,2018,3,23876722734
31,2018-04,2018,4,32328608225
31,2018-05,2018,5,41034315926
31,2018-06,2018,6,49531173821
31,2018-07,2018,7,57621374526
31,2018-08,2018,8,66268716718
31,2018-09,2018,9,74220739207
31,2018-10,2018,10,82807776312
31,2018-11,2018,11,91215702159
31,2018-12,2018,12,98904266936
31,2019-01,2019,1,7735697253
31,2019-02,2019,2,15065048847
31,2019-03,2019,3,23626242545
31,2019-04,2019,4,31775680040
31,2019-05,2019,5,40146919399
31,2019-06,2019,6,48174109242
31,2019-07,2019,7,56289000835
31,2019-08,2019,8,64750042967
31,2019-09,2019,9,72705169783
31,2019-10,2019,10,81285833542
31,2019-11,2019,11,89573891796
31,2019-12,2019,12,97403366468
31,2020-01,2020,1,7880113560
31,2020-02,2020,2,15974673875
31,2020-03,2020,3,24456431905
31,2020-04,2020,4,31460980736
31,2020-05,2020,5,38292415239
31,2020-06,2020,6,45245601552
31,2020-07,2020,7,52670390032
31,2020-08,2020,8,60466363854
31,2020-09,2020,9,68156355017
31,2020-10,2020,10,76624924124
31,2020-11,2020,11,84910181552
31,2020-12,2020,12,93158911187
31,2021-01,2021,1,7939749987
31,2021-02,2021,2,15811611825
31,2021-03,2021,3,25357770747
31,2021-04,2021,4,34478344726
31,2021-05,2021,5,43802310151
31,2021-06,2021,6,52711317310
31,2021-07,2021,7,61773272088
31,2021-08,2021,8,71092070693
31,2021-09,2021,9,79867621018
31,2021-10,2021,10,89283955041
31,2021-11,2021,11,98767160542
31,2021-12,2021,12,107961824054
31,2022-01,2022,1,8730196005
31,2022-02,2022,2,17689766336
31,2022-03,2022,3,28275116286
31,2022-04,2022,4,38273386707
31,2022-05,2022,5,48628249333
31,2022-06,2022,6,58944260604
31,2022-07,2022,7,68697303360
31,2022-08,2022,8,79055472766
31,2022-09,2022,9,88777833070
31,2022-10,2022,10,98594055941
31,2022-11,2022,11,108080708172
31,2022-12,2022,12,117252367565
31,2023-01,2023,1,8968197204
31,2023-02,2023,2,17747499574
31,2023-03,2023,3,28100550207
31,2023-04,2023,4,37371056131
31,2023-05,2023,5,47077276619
31,2023-06,2023,6,56641743429
31,2023-07,2023,7,65720185113
31,2023-08,2023,8,75294800907
31,2023-09,2023,9,84431893810
31,2023-10,2023,10,93737461024
31,2023-11,2023,11,103225996301
31,2023-12,2023,12,112531308961
32,2017-01,2017,1,28284231016
32,2017-02,2017,2,56705822634
32,2017-03,2017,3,87672836531
32,2017-04,2017,4,116743563041
32,2017-05,2017,5,147201375002
32,2017-06,2017,6,177936910990
32,2017-07,2017,7,207531110480
32,2017-08,2017,8,237962260039
32,2017-09,2017,9,266427140418
32,2017-10,2017,10,298115771407
32,2017-11,2017,11,328899069838
32,2017-12,2017,12,360109616770
32,2018-01,2018,1,30380988883
32,2018-02,2018,2,59689639672
32,2018-03,2018,3,93788903865
32,2018-04,2018,4,127646208789
32,2018-05,2018,5,162776447608
32,2018-06,2018,6,197092594958
32,2018-07,2018,7,230306535344
32,2018-08,2018,8,264677493983
32,2018-09,2018,9,298204490122
32,2018-10,2018,10,333917789665
32,2018-11,2018,11,366346267792
32,2018-12,2018,12,397545435204
32,2019-01,2019,1,31456873444
32,2019-02,2019,2,61795641229
32,2019-03,2019,3,96152244307
32,2019-04,2019,4,128201255187
32,2019-05,2019,5,161400786536
32,2019-06,2019,6,193557930913
32,2019-07,2019,7,225790241913
32,2019-08,2019,8,259208929810
32,2019-09,2019,9,290220708419
32,2019-10,2019,10,323076030288
32,2019-11,2019,11,353997698297
32,2019-12,2019,12,384352021286
32,2020-01,2020,1,30698844064
32,2020-02,2020,2,60932062759
32,2020-03,2020,3,92728360458
32,2020-04,2020,4,117817568655
32,2020-05,2020,5,141112654623
32,2020-06,2020,6,166277180889
32,2020-07,2020,7,192012189551
32,2020-08,2020,8,219299493909
32,2020-09,2020,9,247007687957
32,2020-10,2020,10,276750220589
32,2020-11,2020,11,305127821366
32,2020-12,2020,12,334222972819
32,2021-01,2021,1,30117527212
32,2021-02,2021,2,58828626153
32,2021-03,2021,3,93368334458
32,2021-04,2021,4,126505919232
32,2021-05,2021,5,163229478603
32,2021-06,2021,6,200827655704
32,2021-07,2021,7,237523242025
32,2021-08,2021,8,275537786829
32,2021-09,2021,9,313177687266
32,2021-10,2021,10,353413498172
32,2021-11,2021,11,393511419421
32,2021-12,2021,12,434028221053
32,2022-01,2022,1,37768203368
32,2022-02,2022,2,76985560405
32,2022-03,2022,3,125504471415
32,2022-04,2022,4,171676828447
32,2022-05,2022,5,220723801342
32,2022-06,2022,6,270597187859
32,2022-07,2022,7,317224894390
32,2022-08,2022,8,364876845172
32,2022-09,2022,9,411189305183
32,2022-10,2022,10,453972012959
32,2022-11,2022,11,496746840106
32,2022-12,2022,12,537188458969
32,2023-01,2023,1,43040193004
32,2023-02,2023,2,81439713241
32,2023-03,2023,3,127955374692
32,2023-04,2023,4,169129012990
32,2023-05,2023,5,211337092436
32,2023-06,2023,6,251785745491
32,2023-07,2023,7,291937416113
32,2023-08,2023,8,335094182172
32,2023-09,2023,9,376934863907
32,2023-10,2023,10,419125491372
32,2023-11,2023,11,458464207798
32,2023-12,2023,12,498223507474
33,2017-01,2017,1,64161169831
33,2017-02,2017,2,129780034060
33,2017-03,2017,3,207320771845
33,2017-04,2017,4,277176861623
33,2017-05,2017,5,349596880573
33,2017-06,2017,6,427100310246
33,2017-07,2017,7,495427300764
33,2017-08,2017,8,569560307176
33,2017-09,2017,9,644235539882
33,2017-10,2017,10,718475062742
33,2017-11,2017,11,793157039607
33,2017-12,2017,12,868628174506
33,2018-01,2018,1,67774647015
33,2018-02,2018,2,138281702163
33,2018-03,2018,3,222139767456
33,2018-04,2018,4,296449801485
33,2018-05,2018,5,375170739769
33,2018-06,2018,6,454939965756
33,2018-07,2018,7,524893511792
33,2018-08,2018,8,600316024257
33,2018-09,2018,9,676429939662
33,2018-10,2018,10,755048638211
33,2018-11,2018,11,830392652151
33,2018-12,2018,12,903301713904
33,2019-01,2019,1,69099778935
33,2019-02,2019,2,139882758165
33,2019-03,2019,3,221721052670
33,2019-04,2019,4,293627785951
33,2019-05,2019,5,370578979165
33,2019-06,2019,6,445729046333
33,2019-07,2019,7,516785929095
33,2019-08,2019,8,591429223082
33,2019-09,2019,9,664447769416
33,2019-10,2019,10,740829135007
33,2019-11,2019,11,814697632783
33,2019-12,2019,12,886857524771
33,2020-01,2020,1,66766281956
33,2020-02,2020,2,136878377126
33,2020-03,2020,3,207775478036
33,2020-04,2020,4,253943375382
33,2020-05,2020,5,298519421721
33,2020-06,2020,6,354671640314
33,2020-07,2020,7,415742963561
33,2020-08,2020,8,478648670775
33,2020-09,2020,9,543123244812
33,2020-10,2020,10,612825890418
33,2020-11,2020,11,677755684652
33,2020-12,2020,12,745327954114
33,2021-01,2021,1,63773823683
33,2021-02,2021,2,124751337276
33,2021-03,2021,3,204848281570
33,2021-04,2021,4,279094517691
33,2021-05,2021,5,350587996470
33,2021-06,2021,6,423754654659
33,2021-07,2021,7,495352128901
33,2021-08,2021,8,567621113156
33,2021-09,2021,9,636198234675
33,2021-10,2021,10,714724838017
33,2021-11,2021,11,785657608618
33,2021-12,2021,12,860721533017
33,2022-01,2022,1,68577584014
33,2022-02,2022,2,137817962342
33,2022-03,2022,3,220622776966
33,2022-04,2022,4,298812548719
33,2022-05,2022,5,378124650437
33,2022-06,2022,6,460679727581
33,2022-07,2022,7,542574175235
33,2022-08,2022,8,626156839554
33,2022-09,2022,9,708422150523
33,2022-10,2022,10,794829836341
33,2022-11,2022,11,874617064426
33,2022-12,2022,12,953664584524
33,2023-01,2023,1,76253386655
33,2023-02,2023,2,152048254970
33,2023-03,2023,3,240638983242
33,2023-04,2023,4,319233733811
33,2023-05,2023,5,401921804240
33,2023-06,2023,6,488594593331
33,2023-07,2023,7,569153036152
33,2023-08,2023,8,655457509034
33,2023-09,2023,9,741958609765
33,2023-10,2023,10,829682221420
33,2023-11,2023,11,910675938171
33,2023-12,2023,12,992013122122
99,2017-01,2017,1,3045524158
99,2017-02,2017,2,6382893997
99,2017-03,2017,3,10024466121
99,2017-04,2017,4,13504689172
99,2017-05,2017,5,17005521735
99,2017-06,2017,6,20655153213
99,2017-07,2017,7,24142602567
99,2017-08,2017,8,27747641680
99,2017-09,2017,9,31273228983
99,2017-10,2017,10,35043346072
99,2017-11,2017,11,38733048263
99,2017-12,2017,12,42788214702
99,2018-01,2018,1,3189561816
99,2018-02,2018,2,6755072733
99,2018-03,2018,3,10753843540
99,2018-04,2018,4,14626849840
99,2018-05,2018,5,18573745773
99,2018-06,2018,6,22473958544
99,2018-07,2018,7,26352434004
99,2018-08,2018,8,30416258263
99,2018-09,2018,9,34274270876
99,2018-10,2018,10,38461740628
99,2018-11,2018,11,42525526807
99,2018-12,2018,12,46792332532
99,2019-01,2019,1,3540050302
99,2019-02,2019,2,7229846813
99,2019-03,2019,3,11383912029
99,2019-04,2019,4,15211408607
99,2019-05,2019,5,19322170811
99,2019-06,2019,6,23239360706
99,2019-07,2019,7,27134054235
99,2019-08,2019,8,31174450696
99,2019-09,2019,9,34990568071
99,2019-10,2019,10,39142381968
99,2019-11,2019,11,43251323546
99,2019-12,2019,12,47520879892
99,2020-01,2020,1,3565461925
99,2020-02,2020,2,7483918271
99,2020-03,2020,3,11369383041
99,2020-04,2020,4,14317020446
99,2020-05,2020,5,17029545631
99,2020-06,2020,6,20067581029
99,2020-07,2020,7,23396389847
99,2020-08,2020,8,26709074682
99,2020-09,2020,9,30102607982
99,2020-10,2020,10,33682676072
99,2020-11,2020,11,37301024673
99,2020-12,2020,12,41652150524
99,2021-01,2021,1,3358492536
99,2021-02,2021,2,6952983036
99,2021-03,2021,3,11150036072
99,2021-04,2021,4,15304410107
99,2021-05,2021,5,19470916298
99,2021-06,2021,6,23664149751
99,2021-07,2021,7,27831651276
99,2021-08,2021,8,32090039349
99,2021-09,2021,9,36223102231
99,2021-10,2021,10,40794494858
99,2021-11,2021,11,45204122716
99,2021-12,2021,12,50193290335
99,2022-01,2022,1,3638767692
99,2022-02,2022,2,7847363030
99,2022-03,2022,3,12774775413
99,2022-04,2022,4,17490173926
99,2022-05,2022,5,22467542931
99,2022-06,2022,6,27511184605
99,2022-07,2022,7,32430857531
99,2022-08,2022,8,38020011955
99,2022-09,2022,9,43489287638
99,2022-10,2022,10,48972177813
99,2022-11,2022,11,54420496680
99,2022-12,2022,12,60231751773
99,2023-01,2023,1,4832141799
99,2023-02,2023,2,9981779484
99,2023-03,2023,3,15925837608
99,2023-04,2023,4,21161779471
