state_fips,bi_class,n,share
01,1-1,4,0.05970149253731343
01,1-3,2,0.029850746268656716
01,2-1,13,0.19402985074626866
01,2-2,5,0.07462686567164178
01,2-3,13,0.19402985074626866
01,3-1,8,0.11940298507462686
01,3-2,11,0.16417910447761194
01,3-3,11,0.16417910447761194
04,1-1,1,0.06666666666666667
04,1-2,1,0.06666666666666667
04,2-1,4,0.26666666666666666
04,3-1,4,0.26666666666666666
04,3-2,4,0.26666666666666666
04,3-3,1,0.06666666666666667
05,1-1,4,0.05333333333333334
05,1-2,4,0.05333333333333334
05,1-3,14,0.18666666666666668
05,2-1,4,0.05333333333333334
05,2-2,14,0.18666666666666668
05,2-3,16,0.21333333333333335
05,3-1,5,0.06666666666666667
05,3-2,10,0.13333333333333333
05,3-3,4,0.05333333333333334
06,1-1,8,0.13793103448275862
06,1-2,3,0.05172413793103448
06,2-1,6,0.10344827586206896
06,2-2,4,0.06896551724137931
06,3-1,35,0.603448275862069
06,3-2,2,0.034482758620689655
08,1-1,22,0.34375
08,1-2,7,0.109375
08,1-3,11,0.171875
08,2-1,7,0.109375
08,2-2,3,0.046875
08,2-3,2,0.03125
08,3-1,11,0.171875
08,3-2,1,0.015625
09,3-1,9,1
10,3-1,3,1
11,2-1,1,1
12,1-1,2,0.029850746268656716
12,1-2,4,0.05970149253731343
12,1-3,13,0.19402985074626866
12,2-1,3,0.04477611940298507
12,2-2,18,0.26865671641791045
12,2-3,4,0.05970149253731343
12,3-1,18,0.26865671641791045
12,3-2,5,0.07462686567164178
13,1-1,14,0.0880503144654088
13,1-2,24,0.1509433962264151
13,1-3,19,0.11949685534591195
13,2-1,16,0.10062893081761007
13,2-2,29,0.18238993710691823
13,2-3,18,0.11320754716981132
13,3-1,21,0.1320754716981132
13,3-2,12,0.07547169811320754
13,3-3,6,0.03773584905660377
16,1-1,3,0.06976744186046512
16,1-2,4,0.09302325581395349
16,1-3,11,0.2558139534883721
16,2-1,2,0.046511627906976744
16,2-2,4,0.09302325581395349
16,2-3,13,0.3023255813953488
16,3-1,1,0.023255813953488372
16,3-2,5,0.11627906976744186
17,1-1,3,0.029411764705882353
17,1-2,17,0.16666666666666666
17,1-3,17,0.16666666666666666
17,2-1,6,0.058823529411764705
17,2-2,19,0.18627450980392157
17,2-3,6,0.058823529411764705
17,3-1,24,0.23529411764705882
17,3-2,9,0.08823529411764706
17,3-3,1,0.00980392156862745
18,1-2,3,0.03260869565217391
18,1-3,8,0.08695652173913043
18,2-2,19,0.20652173913043478
18,2-3,13,0.14130434782608695
18,3-1,16,0.17391304347826086
18,3-2,28,0.30434782608695654
18,3-3,5,0.05434782608695652
19,1-1,1,0.010101010101010102
19,1-2,20,0.20202020202020202
19,1-3,5,0.050505050505050504
19,2-1,10,0.10101010101010101
19,2-2,38,0.3838383838383838
19,2-3,4,0.04040404040404041
19,3-1,14,0.1414141414141414
19,3-2,5,0.050505050505050504
19,3-3,2,0.020202020202020204
20,1-2,10,0.09523809523809523
20,1-3,56,0.5333333333333333
20,2-1,3,0.02857142857142857
20,2-2,13,0.12380952380952381
20,2-3,7,0.06666666666666667
20,3-1,8,0.0761904761904762
20,3-2,8,0.0761904761904762
21,1-2,7,0.058333333333333334
21,1-3,44,0.36666666666666664
21,2-1,2,0.016666666666666666
21,2-2,17,0.14166666666666666
21,2-3,26,0.21666666666666667
21,3-1,6,0.05
21,3-2,14,0.11666666666666667
21,3-3,4,0.03333333333333333
22,1-1,5,0.078125
22,1-2,7,0.109375
22,1-3,4,0.0625
22,2-1,8,0.125
22,2-2,9,0.140625
22,2-3,11,0.171875
22,3-1,6,0.09375
22,3-2,13,0.203125
22,3-3,1,0.015625
23,2-1,6,0.375
23,2-2,1,0.0625
23,3-1,8,0.5
23,3-2,1,0.0625
24,1-1,4,0.16666666666666666
24,2-1,4,0.16666666666666666
24,2-2,4,0.16666666666666666
24,3-1,11,0.4583333333333333
24,3-2,1,0.041666666666666664
25,1-1,2,0.14285714285714285
25,2-1,1,0.07142857142857142
25,3-1,11,0.7857142857142857
26,1-1,4,0.04819277108433735
26,1-2,11,0.13253012048192772
26,2-1,10,0.12048192771084337
26,2-2,18,0.21686746987951808
26,2-3,1,0.012048192771084338
26,3-1,24,0.2891566265060241
26,3-2,15,0.18072289156626506
27,1-1,5,0.05747126436781609
27,1-2,17,0.19540229885057472
27,2-1,8,0.09195402298850575
27,2-2,27,0.3103448275862069
27,2-3,1,0.011494252873563218
27,3-1,16,0.1839080459770115
27,3-2,13,0.14942528735632185
28,1-1,17,0.2073170731707317
28,1-2,6,0.07317073170731707
28,1-3,4,0.04878048780487805
28,2-1,18,0.21951219512195122
28,2-2,12,0.14634146341463414
28,2-3,8,0.0975609756097561
28,3-1,8,0.0975609756097561
28,3-2,6,0.07317073170731707
28,3-3,3,0.036585365853658534
29,1-2,7,0.06086956521739131
29,1-3,47,0.40869565217391307
29,2-2,16,0.1391304347826087
29,2-3,25,0.21739130434782608
29,3-1,8,0.06956521739130435
29,3-2,7,0.06086956521739131
29,3-3,5,0.043478260869565216
30,1-1,6,0.10909090909090909
30,1-2,16,0.2909090909090909
30,1-3,18,0.32727272727272727
30,2-1,5,0.09090909090909091
30,2-2,3,0.05454545454545454
30,2-3,2,0.03636363636363636
30,3-1,3,0.05454545454545454
30,3-2,1,0.01818181818181818
30,3-3,1,0.01818181818181818
31,1-1,1,0.01098901098901099
31,1-2,8,0.08791208791208792
31,1-3,60,0.6593406593406593
31,2-2,9,0.0989010989010989
31,2-3,2,0.02197802197802198
31,3-1,3,0.03296703296703297
31,3-2,6,0.06593406593406594
31,3-3,2,0.02197802197802198
32,1-2,2,0.11764705882352941
32,1-3,3,0.17647058823529413
32,2-1,1,0.058823529411764705
32,2-2,2,0.11764705882352941
32,2-3,1,0.058823529411764705
32,3-1,2,0.11764705882352941
32,3-2,2,0.11764705882352941
32,3-3,4,0.23529411764705882
33,2-1,3,0.3
33,3-1,7,0.7
34,2-1,3,0.14285714285714285
34,3-1,17,0.8095238095238095
34,3-2,1,0.047619047619047616
35,1-1,13,0.3939393939393939
35,1-2,8,0.24242424242424243
35,2-1,4,0.12121212121212122
35,2-2,2,0.06060606060606061
35,3-1,3,0.09090909090909091
35,3-2,1,0.030303030303030304
35,3-3,2,0.06060606060606061
36,1-2,2,0.03225806451612903
36,2-1,13,0.20967741935483872
36,2-2,7,0.11290322580645161
