specification,se_type,term,estimate,std_error,statistic,p_value
Latest year baseline,HC1,(Intercept),9.118489706818163,0.5451264605084224,16.727292412688303,3.397695112512699e-60
Latest year baseline,HC1,gop_share_20,-4.509459601066587,0.7858062420106406,-5.738640596094329,1.0466811677550019e-8
Latest year baseline,HC1,swingness_20,-2.4538262842030583,0.8041794945955215,-3.051341523495647,0.0022975605063878793
Latest year baseline,HC1,gop_share_20:swingness_20,7.0007636460679965,1.3157053583642102,5.320920524920491,1.1060914754548634e-7
Latest year + state FE,State-clustered HC1,(Intercept),9.6157183607276,0.7325983178161714,13.125498826412052,2.5334773997881723e-38
Latest year + state FE,State-clustered HC1,gop_share_20,-3.9381301179272903,1.2036678967098073,-3.2717746553613827,0.0010806747089287217
Latest year + state FE,State-clustered HC1,swingness_20,-2.0837174190362413,1.0667139527138487,-1.9533984848843622,0.050863883020177886
Latest year + state FE,State-clustered HC1,gop_share_20:swingness_20,5.933022315547173,2.046634426166259,2.8989165039409936,0.0037713321310631257
Panel + year FE + state FE,State-clustered HC1,(Intercept),9.523338882145254,0.6964424051523153,13.674266259049022,2.171686151969662e-42
Panel + year FE + state FE,State-clustered HC1,gop_share_20,-4.252285231055097,1.155640652628329,-3.6795912478363593,2.3417524365740514e-4
Panel + year FE + state FE,State-clustered HC1,swingness_20,-2.237050387486445,1.0068105628508333,-2.221917876141593,0.026299167504795953
Panel + year FE + state FE,State-clustered HC1,gop_share_20:swingness_20,6.364673739206661,1.9448776146189526,3.2725317476871933,0.0010675606286087557
