specification,se_type,term,estimate,std_error,statistic,p_value
Latest year baseline,HC1,(Intercept),9.118489706818163,0.5451264605084224,16.727292412688303,3.397695112512699e-60
Latest year baseline,HC1,gop_share_20,-4.509459601066587,0.7858062420106406,-5.738640596094329,1.0466811677550019e-8
Latest year baseline,HC1,swingness_20,-2.4538262842030583,0.8041794945955215,-3.051341523495647,0.0022975605063878793
Latest year baseline,HC1,gop_share_20:swingness_20,7.0007636460679965,1.3157053583642102,5.320920524920491,1.1060914754548634e-7
Latest year + state FE,State-clustered HC1,(Intercept),9.6157183607276,0.7325983178161714,13.125498826412052,2.5334773997881723e-38
Latest year + state FE,State-clustered HC1,gop_share_20,-3.9381301179272903,1.2036678967098073,-3.2717746553613827,0.0010806747089287217
Latest year + state FE,State-clustered HC1,swingness_20,-2.0837174190362413,1.0667139527138487,-1.9533984848843622,0.050863883020177886
Latest year + state FE,State-clustered HC1,factor(state_name)Arizona,-0.21833837713617857,0.06910942538891941,-3.159314028549073,0.001596915344964707
Latest year + state FE,State-clustered HC1,factor(state_name)Arkansas,-0.3708837602910309,0.026740502907730737,-13.869737662406026,1.8416917388778475e-42
Latest year + state FE,State-clustered HC1,factor(state_name)California,-0.2941565475041968,0.10626053485005423,-2.7682577348145796,0.005669797009706365
Latest year + state FE,State-clustered HC1,factor(state_name)Colorado,-1.5648240283345438,0.04389029655515818,-35.65307485147623,5.827810457270166e-233
Latest year + state FE,State-clustered HC1,factor(state_name)Delaware,0.08542282780058441,0.10350770316984365,0.825279908495466,0.40927736528765324
Latest year + state FE,State-clustered HC1,factor(state_name)District of Columbia,-1.6273098834786655,0.5605685763621643,-2.9029630844439556,0.003723079109551539
Latest year + state FE,State-clustered HC1,factor(state_name)Florida,-0.4174771301747208,0.04476210311098596,-9.326575409998094,2.040501433650023e-20
Latest year + state FE,State-clustered HC1,factor(state_name)Georgia,-0.7375805839071388,0.0293881848278259,-25.097861206071094,1.6630486522226578e-126
Latest year + state FE,State-clustered HC1,factor(state_name)Hawaii,-0.5318306202491692,0.1561905808061274,-3.4050108367885987,6.701812337860191e-4
Latest year + state FE,State-clustered HC1,factor(state_name)Idaho,-0.6322332096429341,0.04163151179704133,-15.186410061809612,2.889829211944153e-50
Latest year + state FE,State-clustered HC1,factor(state_name)Illinois,-0.8127831251135236,0.04261549647197373,-19.072478145316317,1.071202057894375e-76
Latest year + state FE,State-clustered HC1,factor(state_name)Indiana,-0.06456266348793721,0.043987422888667985,-1.4677528086004286,0.14227469475186608
Latest year + state FE,State-clustered HC1,factor(state_name)Iowa,-0.6313568583354457,0.07003998540307038,-9.014234579034744,3.4221155578725316e-19
Latest year + state FE,State-clustered HC1,factor(state_name)Kansas,-1.0588631700341697,0.06003696041819246,-17.636855074916685,2.3035755770618436e-66
Latest year + state FE,State-clustered HC1,factor(state_name)Kentucky,-0.7066160039034207,0.04447038904018039,-15.889584488792552,1.1132448957929411e-54
Latest year + state FE,State-clustered HC1,factor(state_name)Louisiana,-0.4787041917198273,0.03577172995291463,-13.382192931399539,9.975377334628543e-40
Latest year + state FE,State-clustered HC1,factor(state_name)Maine,-0.37637330155317744,0.09396062448079716,-4.005649213518129,6.332714884843187e-5
Latest year + state FE,State-clustered HC1,factor(state_name)Maryland,-0.4898039545953762,0.10755909611971941,-4.553812483234299,5.474982176348702e-6
Latest year + state FE,State-clustered HC1,factor(state_name)Massachusetts,-0.07415313506100517,0.17193633634926975,-0.43128251209430934,0.6662935047033143
Latest year + state FE,State-clustered HC1,factor(state_name)Michigan,-0.4168309881763971,0.08338741584550646,-4.998727733075075,6.097429325364214e-7
Latest year + state FE,State-clustered HC1,factor(state_name)Minnesota,-0.8499026006058494,0.07835896024693427,-10.846272052711434,6.4115151718663294e-27
Latest year + state FE,State-clustered HC1,factor(state_name)Mississippi,-0.8006153306842858,0.05372331479147137,-14.902567605738735,1.565378473478274e-48
Latest year + state FE,State-clustered HC1,factor(state_name)Missouri,-0.46137696207272383,0.052838460094124684,-8.731839672292534,4.0570262506067634e-18
Latest year + state FE,State-clustered HC1,factor(state_name)Montana,-1.9328076341203067,0.02368564882713885,-81.60247786438973,0
