county_fips,county_name,state_name,county_exposure_mean,exposure_billions,county_exposure_per_worker,dominant_naics2c,swingness_24,gop_share_24,margin_24
02013,"Aleutians East Borough, Alaska",Alaska,307600940818.7879,307.6009408187879,154884663.05074918,31-33,0.9872094622472838,0.49360473112364184,-0.01279053775271626
72093,"Maricao Municipio, Puerto Rico",NA,293806449336.46967,293.80644933646965,272547726.6572075,31-33,NA,NA,NA
21091,"Hancock County, Kentucky",Kentucky,254090988717.82022,254.0909887178202,75353199.50113292,31-33,0.524714008202029,0.7284696740772717,0.47528599179797104
38081,"Sargent County, North Dakota",North Dakota,246453808959.76862,246.45380895976862,98424045.11172868,31-33,0.6729249011857708,0.6546442687747036,0.3270750988142293
47127,"Moore County, Tennessee",Tennessee,235087373818.74783,235.08737381874784,167441149.44355258,31-33,0.31089217296113847,0.8374384236453202,0.6891078270388615
01129,"Washington County, Alabama",Alabama,229819711858.14676,229.81971185814675,45617251.262037866,31-33,0.44590747330960856,0.7750889679715303,0.5540925266903914
32029,"Storey County, Nevada",Nevada,225183722817.21298,225.18372281721298,17042588.573163778,31-33,0.6113821138211382,0.6855284552845529,0.3886178861788618
46073,"Jerauld County, South Dakota",South Dakota,223362420593.31174,223.36242059331173,152674245.10821036,31-33,0.5675675675675675,0.7087087087087087,0.43243243243243246
02016,"Aleutians West Census Area, Alaska",Alaska,222546364420.23178,222.54636442023178,57107098.90177875,31-33,0.8474064488299364,0.42370322441496816,-0.15259355117006362
48369,"Parmer County, Texas",Texas,221730020960.20267,221.73002096020267,51988281.58504166,31-33,0.2991214057507987,0.8478434504792333,0.7008785942492013
17047,"Edwards County, Illinois",Illinois,217806290189.87357,217.80629018987358,115485837.85253105,31-33,0.28923357664233573,0.8497566909975669,0.7107664233576643
47121,"Meigs County, Tennessee",Tennessee,211097568612.77258,211.0975686127726,114789324.96616237,31-33,0.3249713067716019,0.8337432365961633,0.6750286932283981
