county_fips,county_name,state_name,county_tariff_exposure_mean,county_tariff_exposure_per_worker,tariffed_emp_share,gop_share_20,swingness_20,gop_share_24
06037,"Los Angeles County, California",California,9015205582.92998,2260.732802504975,0.13517695253647682,0.2686865990702821,0.558254912754785,0.3191324384251049
48201,"Harris County, Texas",Texas,7324700220.709229,3356.6222431995166,0.10300554862054365,0.4270004351488101,0.86740576956128,0.46436442611047907
17031,"Cook County, Illinois",Illinois,5270854462.766824,2114.8317808758816,0.09995233372172524,0.24048817114162604,0.4969826384865331,0.28386425515363706
06059,"Orange County, California",California,4322978386.078262,2734.7156818213957,0.11347766732583575,0.44455995662816894,0.9096347894659023,0.470763103313167
04013,"Maricopa County, Arizona",Arizona,3992995254.771997,1979.6841697324608,0.08487565109524806,0.4811196076299541,0.9782026842556688,0.5119567466509569
48113,"Dallas County, Texas",Texas,3630425950.023891,2201.990383965017,0.10998773580671341,0.3331850466235119,0.6837152981973399,0.379963201515287
06073,"San Diego County, California",California,3178246279.065066,2283.6806220967173,0.1029883144682016,0.374655526989078,0.772397457236649,0.40145866857582907
48439,"Tarrant County, Texas",Texas,2970926156.2719316,3367.2936603221074,0.12127432167917769,0.4908859142898561,0.9978123798216598,0.518580736130695
06085,"Santa Clara County, California",California,2876263472.182881,2455.413042873493,0.23367824913329982,0.25232974573262107,0.525755947523991,0.28106972907641303
06001,"Alameda County, California",California,2742939891.8113174,3661.5298559535104,0.17055120380604546,0.17705594754398202,0.374759697816757,0.21019558077037903
26163,"Wayne County, Michigan",Michigan,2707111836.704145,4067.4318942964323,0.14773768777476942,0.30322338100264906,0.618763531999418,0.33725194422488397
53033,"King County, Washington",Washington,2600370709.163891,1991.17629518188,0.17017459360908216,0.22235889590064298,0.47282997950445593,0.22459459194696502
27053,"Hennepin County, Minnesota",Minnesota,2362347733.9052653,2515.273869922695,0.11787785575185716,0.272462230594112,0.5679055622651189,0.275253247668475
48329,"Midland County, Texas",Texas,2298413858.3725934,22775.740557623678,0.318198483872566,0.7751801005844771,0.43429726790811485,0.7983673469387759
18039,"Elkhart County, Indiana",Indiana,2277778686.377516,16723.901690743074,0.560708962620871,0.6314544207993329,0.7195208840254349,0.655034866703016
26081,"Kent County, Michigan",Michigan,2140802468.5921621,5565.802562408939,0.19658117436010764,0.459055305665729,0.938584343356008,0.46464831244855
26099,"Macomb County, Michigan",Michigan,2101445459.6156871,6392.404536141483,0.22152393525602224,0.533858971868829,0.9192503479977987,0.5591919160170982
25017,"Middlesex County, Massachusetts",Massachusetts,2077940932.1641047,2156.8447849312442,0.1406192749349451,0.262809222570772,0.5481120965472679,0.290443760631392
49035,"Salt Lake County, Utah",Utah,2008897098.7618895,2895.828580599246,0.12774011454172499,0.42532267750727615,0.889625352242805,0.43485471803286413
39035,"Cuyahoga County, Ohio",Ohio,1945819226.3148868,2855.0204848628578,0.13160138098403182,0.32397110297760806,0.6588025636517651,0.33889110767681296
53061,"Snohomish County, Washington",Washington,1894847034.5212352,6680.252828394372,0.2331296778765305,0.379283311607216,0.7942096099326339,0.38853963262682195
26125,"Oakland County, Michigan",Michigan,1736186725.6107485,2366.437716102652,0.10079586081499746,0.4231460723748011,0.859574401798661,0.4375876850372891
06071,"San Bernardino County, California",California,1698817532.7493415,2364.026112490943,0.08943073591868769,0.4355375173468451,0.893449046354576,0.496795385144556
06065,"Riverside County, California",California,1685577535.1007864,2451.656424776352,0.08258451316750202,0.4504334662442431,0.9204512144684166,0.49306096841254604
